timestamp_ns,x,y,z
60810295383000,1.69824219,6.47265625,-4.00390625
60810396091000,6.02734375,5.02343750,-5.29296875
60810496799000,8.44531250,3.82226562,-5.01953125
60810597507000,8.78906250,2.56445312,-4.85156250
60810698215000,9.82031250,2.39062500,-1.90234375
60810798923000,9.85156250,2.32617188,-1.77246094
60810899631000,9.71875000,2.38867188,-2.10156250
60811000339000,9.36718750,2.52539062,-0.974609375
60811101047000,9.50000000,2.31054688,-0.663574219
60811201755000,10.48437500,1.77441406,-0.284423828
60811302463000,10.40625000,1.49902344,0.0659790039
60811403171000,10.42968750,1.19726562,0.315673828
60811503879000,10.32812500,1.02832031,0.628906250
60811604587000,10.24218750,1.01660156,0.754882812
60811705295000,10.36718750,0.93359375,0.675781250
60811806003000,10.39843750,0.666992188,0.779785156
60811906711000,10.39062500,0.549804688,0.952636719
60812007419000,10.36718750,0.558105469,0.817382812
60812108127000,10.28906250,0.585449219,0.868652344
60812208835000,10.46875000,0.487304688,0.853027344
60812309543000,10.40625000,0.531738281,0.931152344
60812410251000,10.30468750,0.496826172,1.08593750
60812510959000,10.39062500,0.463134766,1.12402344
60812611667000,10.30468750,0.453613281,1.22167969
60812712375000,10.35156250,0.404296875,1.15527344
60812813083000,10.41406250,0.407958984,1.03906250
60812913791000,10.66406250,0.330078125,0.87109375
60813014499000,11.77343750,0.309570312,0.846191406
60813115207000,9.00781250,1.41601562,1.21679688
60813215915000,6.45312500,4.23046875,0.194458008
60813316623000,7.71875000,4.56640625,-1.84179688
